"Day","Account","Campaign","Ad.group","Network","Ad.group.state","Impressions","CTR","Avg..CPC","Clicks","Cost","Avg..session.duration..seconds.","Bounce.rate","Click.Assisted.Conv.","Click.conversion.rate","Conversions","View.through.conv.","Search.Impr..share","Avg..position"
2015-02-17,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",0,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"< 10%",0
2015-02-26,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",3,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"33.33%",1
2015-02-28,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",6,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"54.55%",1.2
2015-03-08,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",14,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"93.33%",1.2
2015-02-21,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",0,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"< 10%",0
2015-03-23,"Asian haus","Asian Haus","Asian Haus - Distant Competitor","Search Network","enabled",13,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"24.07%",2.1
2015-03-07,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",8,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"88.89%",1.9
2015-02-19,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",3,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"25.00%",2
2015-03-11,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",5,"20.00%",27.85,1,27.85,0,"0.00%",0,"0.00%",0,0,"62.50%",1
2015-03-10,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",16,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"72.73%",1.1
2015-03-13,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",7,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"50.00%",1.9
2015-02-16,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"12.50%",1
2015-02-22,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",3,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"23.08%",2
2015-03-22,"Asian haus","Asian Haus","Asian Haus - Distant Competitor","Search Network","enabled",16,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"26.23%",2.6
2015-03-03,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"28.57%",1
2015-03-25,"Asian haus","Asian Haus","Asian Haus - Distant Competitor","Search Network","enabled",7,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"11.48%",2.4
2015-03-29,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",64,"18.75%",5.904167,12,70.85,0,"0.00%",1,"16.67%",2,0,"100.00%",1.5
2015-04-01,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",21,"14.29%",36.85,3,110.55,0,"0.00%",1,"33.33%",1,0," --",1.2
2015-03-02,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",39,"5.13%",3.505,2,7.01,0,"0.00%",1,"50.00%",1,0,"97.50%",1
2015-03-01,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",65,"30.77%",14.771,20,295.42,0,"0.00%",2,"25.00%",7,0,"100.00%",1
2015-03-19,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",75,"24.00%",21.205,18,381.69,0,"0.00%",1,"5.56%",1,0,"100.00%",1.1
2015-03-05,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",19,"31.58%",55.49,6,332.94,0,"0.00%",1,"33.33%",2,0,"100.00%",1
2015-03-13,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",85,"25.88%",24.360455,22,535.93,0,"0.00%",1,"18.18%",4,0,"100.00%",1
2015-03-17,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",58,"18.97%",23.241818,11,255.66,0,"0.00%",2,"45.45%",5,0,"100.00%",1.1
2015-03-09,"Asian haus","Asian Haus","Generic-Menu-Based-Exact","Search Network","paused",7,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"43.75%",3
2015-02-20,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",65,"9.23%",29.333333,6,176,0,"0.00%",0,"16.67%",1,0,"97.01%",1.1
2015-03-24,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",49,"16.33%",21.3475,8,170.78,0,"0.00%",0,"12.50%",1,0,"98.00%",1
2015-03-23,"Asian haus","Asian Haus","Asian Haus - Main Competitor","Search Network","enabled",0,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"< 10%",0
2015-02-14,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",15,"6.67%",14.23,1,14.23,0,"0.00%",0,"0.00%",0,0,"60.00%",1.2
2015-02-18,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",50,"12.00%",33.188333,6,199.13,0,"0.00%",0,"16.67%",2,0,"100.00%",1.2
2015-03-25,"Asian haus","Asian Haus","Asian Food","Search Network","enabled",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"11.11%",2
2015-03-04,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",34,"5.88%",17.745,2,35.49,0,"0.00%",0,"0.00%",0,0,"100.00%",1.1
2015-03-07,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",55,"25.45%",9.117857,14,127.65,0,"0.00%",0,"14.29%",3,0,"100.00%",1
2015-03-24,"Asian haus","Asian Haus","Asian Food","Search Network","enabled",17,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"45.95%",1.6
2015-02-22,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",62,"6.45%",28.96,4,115.84,0,"0.00%",0,"25.00%",1,0,"100.00%",1.1
2015-02-26,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",15,"6.67%",21.4,1,21.4,0,"0.00%",0,"0.00%",0,0,"88.24%",1.3
